Symbol,Name,Total Assets FQ,Current Assets FQ,Cash on Hand FQ,Total Liabilities FQ,Total Debt FQ,Net Debt FQ,Total equity FQ,Current ratio FQ,Quick ratio FQ,Debt/Equity FQ,Cash/Debt FQ
GP,Grameenphone Ltd.,200813750000.0,18611660000.0,10932108000.0,151236260000.0,76343528000.0,65411420000.0,49577490000.0,0.186904293191311,0.182158974424996,1.5398828782982,0.14319626412863706
SQURPHARMA,Square Pharmaceuticals PLC,161805222744.0,79552687084.0,59665325081.0,17838031738.0,512486309.0,-59152838772.0,140690071626.0,4.73407566798917,3.92615813696118,0.00364285494941705,116.42325664742782
ROBI,Robi Axiata PLc,290725641000.0,16560794000.000002,2339574000.0,223825892000.0,45571143000.0,43231569000.0,66899748999.99999,0.236647190174411,0.230454175775992,0.6811855602029241,0.051338936133333325
BRACBANK,BRAC Bank PLC,1254759483167.0,126356056330.0,,1126012126268.0,125491956518.0,25462680637.0,128747356899.0,0.269433545628684,,1.21849054989843,
BATBC,British American Tobacco Bangladesh Co Ltd,117602050000.0,77933423000.0,576725000.0,60781986000.0,22861941000.0,22285216000.0,56820064000.0,1.53474842357952,0.308754542846825,0.402356832966608,0.02522642325076423
WALTONHIL,Walton Hi-Tech Industries PLC,154162465275.0,68538062628.0,2486887236.0,30793673940.0,20303485469.0,17816598233.0,123303752982.0,3.03524813660344,1.79413649434565,0.16466234788460898,0.12248572984165983
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,,,,,,
MARICO,Marico Bangladesh Limited.,8824613651.0,7087200505.0,3550271955.0,5843107919.0,202513577.0,-3347758378.0,2981505732.0,1.26409884134252,0.730315712319584,0.0679232559664252,17.531031783612217
ISLAMIBANK,Islami Bank Bangladesh PLC,2307738159665.0,247246450247.0,,2236127493081.0,206008447635.0,85329658776.0,71610666583.0,0.32601665231024,,2.87679789187839,
UPGDCL,United Power Generation & Distribution Co. Ltd.,75597506573.0,43700618773.0,893127106.0,28306020957.0,12131734819.0,11238607713.0,47291485616.0,1.56175010341147,1.44205760946388,0.260063933625516,0.0736190758638441
BERGERPBL,Berger Paints Bangladesh Ltd.,25242271000.0,14857885000.0,5687895000.0,7744139000.0,1078603000.0,-4609292000.0,17498132000.0,2.24157257686739,1.21283804324196,0.0616410368832513,5.273390672935269
LHB,LafargeHolcim Bangladesh PLC,34550117000.0,16345581000.0,6472904000.0,14654797000.0,106641000.0,-6366263000.0,19895320000.0,1.28168256474188,1.00210103784762,0.00535994853210963,60.69808047561445
PUBALIBANK,Pubali Bank PLC,1139770093007.0,127777365629.0,,1064164672472.9999,79436194737.0,21640976572.0,75605420534.0,0.41119539779856,,1.05066799997783,
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,,,,,,,
