Symbol,Name,Revenue TTM,Revenue Growth TTM,Gross Profit TTM,Operating Income TTM,Net Income TTM,EBITDA TTM,EPS dil TTM,EPS dil growth TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,
AAMRANET,aamra networks ltd,,,,,,,,
AAMRATECH,Aamra Technologies Limited,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,
ABBANK,AB Bank PLC,-9211449521.0,-125.0181583726915,,-49487356111.0,-50228424769.0,,-56.0773,-8695.53954629062
ACFL,Aman Cotton Fibrous PLC,2236090610.0,11.329015773403754,158361206.0,122027265.0,7388885.0,167887120.0,0.0733,
ACI,Advanced Chemical Industries PLC,,,,,,,,
ACIFORMULA,ACI Formulations PLC,5296146309.0,12.254924386649366,1661617833.0,678149470.0,347153222.0,,7.3482,-3.164081546591463
ACMELAB,ACME Laboratories Ltd.,37481777860.0,15.855548148516272,15656755793.0,6815520072.0,2512033449.0,,11.8715,6.875348853958481
ACMEPL,ACME Pesticides Ltd,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,,,,,,,,
ADNTEL,ADN Telecom Ltd.,1840408530.0,11.249671573498766,574359356.0,250217009.0,159220970.0,421909330.0,2.4628,1.1250718567791775
ADVENT,Advent Pharma Ltd.,500490850.0,-12.451182704775823,169598205.0,95584700.0,66873163.00000001,158635060.0,0.718,-20.390287171526783
AFCAGRO,AFC Agro Biotech Ltd.,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,820874489.0,51.157376313856496,172806966.0,81882945.0,-155381211.0,154393250.0,-1.4722,-22.754940381889426
AGNISYSL,Agni Systems PLC,707826430.0,0.23063499367912832,248826868.0,137714457.0,59696974.0,198966050.0,0.8228,-31.094548195293527
AGRANINS,Agrani Insurance PLC,236556091.0,-10.64658237889305,,74897183.0,35170046.0,,0.9857,-43.6195161013556
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,
AIL,Alif Industries Ltd.,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,50181219023.0,1.1267819076753123,,4123003581.0,482659042.0,,0.4191,-72.6899517789652
ALIF,Alif Manufacturing Company Ltd.,,,,,,,,
ALLTEX,Alltex Industries Limited,433791651.0,18.347310206874425,158604091.0,102624784.0,-9060793.0,174031040.0,-0.1619,-183.11088295687884
AMANFEED,Aman Feed PLC,9123894140.0,-17.03953620181465,977628903.000001,454571854.0,15581019.0,491486180.0,0.119,-22.37442922374429
AMBEEPHA,Ambee Pharmaceuticals PLC,,,,,,,,
AMCLPRAN,Agricultural Marketing Co. Ltd.,,,,,,,,
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,,,,,,,,
AOL,Associated Oxygen Ltd,,,,,,,,
APEXFOODS,Apex Foods Limited,2284434152.0,4.420896775021936,222451240.0,67328140.0,38322863.0,83352420.0,6.7207,19.933258382854184
APEXFOOT,Apex Footwear Ltd.,18344462864.0,16.873906533429754,5282192726.0,1839289291.0,132308487.00000001,,6.7322,-27.444577365363692
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,5043804912.0,-6.134938183365349,376268140.0,138646173.0,28149124.0,190168300.0,3.3511,-9.899712311456453
APEXTANRY,Apex Tannery Limited.,624355145.0,-17.512766856798997,77490896.0,41891203.0,-227172744.0,,-14.9064,-44.30203291384317
APOLOISPAT,Appollo Ispat Complex Ltd.,,,,,,,,
ARAMIT,Aramit Limited,,,,,,,,
ARAMITCEM,Aramit Cement Limited,,,,,,,,
ARGONDENIM,Argon Denims Ltd.,5741311772.0,-0.40947448824428906,501783246.000001,250839597.0,245845951.0,398758830.0,1.7701,92.75835783513014
ASIAINS,Asia Insurance PLC,514984235.0,-8.171816924167995,,144009483.0,95243498.0,,2.0235,109.27707105181508
ASIAPACINS,Asia Pacific General Insurance PLC,425347173.0,-1.2201901523164833,,87063051.0,64308530.00000001,,1.5185,-29.058631160943705
ASIATICLAB,Asiatic Laboratories Ltd,,,,,,,,
ATLASBANG,Atlas Bangladesh Limited,,,,,,,,
AZIZPIPES,Aziz Pipes Limited.,,,,,,,,
BANGAS,Bangas Limited,,,,,,,,
BANKASIA,Bank Asia PLC,58452781694.0,22.707816113109207,,6893330098.0,4325125904.0,,3.3724,505.56652899982055
BARKAPOWER,Baraka Power Ltd.,1270290878.0,-56.35756055209414,-42780106.9999998,-141645150.0,97851791.0,-15293530.0,0.4156,-59.73258405193296
BATASHOE,Bata Shoe Co. (Bangladesh) Ltd.,9317787959.0,0.2040720109057522,3796079399.0,635741333.0,179479194.0,1346891640.0,13.1198,-19.224494067958357
BATBC,British American Tobacco Bangladesh Co Ltd,87622862000.0,-5.898300950622718,34061285000.000004,23925651000.0,11485367000.0,28172943000.0,21.2692,-34.5474464235158
BAYLEASING,Bay Leasing and Investment Ltd.,,,,,,,,
BBS,Bangladesh Building Systems PLC,,,,,,,,
