Symbol,Name,Div per share Annual,Div per share Quarterly,Dividend trailing percent T12M,Dividend yield percent,DPS Growth,Cont Div Payout,Cont Div Growth
1JANATAMF,FIRST JANATA BANK MUTUAL FUND,,,,,,,
1STPRIMFMF,PRIME FINANCE FIRST MUTUAL FUND,,,,,,,
AAMRANET,AAMRA NETWORKS LTD,1.0,,5.46448087431694,0.0,2.777035499188066,3.0,2.0
AAMRATECH,AAMRA TECHNOLOGIES LTD,0.1,,0.793650793650794,0.0,-90.0,3.0,0.0
ABB1STMF,AB BANK 1ST MUTUAL FUND,,,,,,,
ABBANK,AB BANK PLC,0.0,0.0,0.0,0.0,,0.0,0.0
ACFL,AMAN COTTON FIBROUS LTD,1.0,,5.3475935828877,0.0,0.0,7.0,0.0
ACI,ADVANCED CHEMICAL INDUSTRIES PLC,1.73913,,0.861808721506442,0.0,-50.0,9.0,0.0
ACIFORMULA,ACI FORMULATIONS PLC,2.0,,1.31147540983607,0.0,-20.0,9.0,0.0
ACMELAB,THE ACME LABORATORIES LTD,3.5,,4.21686746987952,0.0,6.060606060606066,9.0,3.0
ACMEPL,ACME PESTICIDES LTD,,,,,,,
ACTIVEFINE,ACTIVE FINE CHEMICALS LTD,,,0.0,,,0.0,0.0
ADNTEL,ADN TELECOM LTD,1.0,,1.3262599469496,0.0,-33.33333333333333,3.0,0.0
ADVENT,ADVENT PHARMA LTD,,,0.666666666666667,0.0,,6.0,0.0
AFCAGRO,AFC AGRO BIOTECH LTD,,,0.0,,,0.0,0.0
AFTABAUTO,AFTAB AUTOMOBILES LTD,1.0,,2.79329608938548,0.0,0.0,12.0,0.0
AGNISYSL,AGNI SYSTEMS PLC,0.48,,1.82509505703422,0.0,1.0526315789473695,9.0,4.0
AGRANINS,AGRANI INSURANCE CO LTD,0.6,,2.41935483870968,0.0,-47.000211999152,6.0,0.0
AIBL1STIMF,AIBL 1ST ISLAMIC MUTUAL FUND,,,,,,,
AIL,ALIF INDUSTRIES LTD,0.90909099173554,,1.89000206182025,0.0,-41.17629222973632,4.0,0.0
AL-HAJTEX,AL-HAJ TEXTILE MILLS LTD,,,,,,,
ALARABANK,AL-ARAFAH ISLAMI BANK PLC,0.0,0.0,5.47344827586207,0.0,-100.0,0.0,0.0
ALIF,ALIF MANUFACTURING COMPANY LTD,0.1,,1.78571428571429,0.0,0.0,2.0,0.0
ALLTEX,ALLTEX INDUSTRIES LTD,,0.0,0.0,,,0.0,0.0
AMANFEED,AMAN FEED LTD,1.0,,4.03225806451613,0.0,0.0,10.0,0.0
AMBEEPHA,AMBEE PHARMACEUTICALS PLC,1.0,,0.119161105815062,0.0,-33.33333333333333,3.0,0.0
AMCLPRAN,AGRICULTURAL MARKETING COMPANY LTD (PRAN),3.2,,1.2779552715655,0.0,0.0,8.0,0.0
ANLIMAYARN,ANLIMAYARN DYEING LTD.,,,,,,,
ANWARGALV,ANWAR GALVANIZING LTD,1.0,,1.16959064327485,0.0,0.0,5.0,0.0
AOL,ASSOCIATED OXYGEN LTD,,,0.0,,,0.0,0.0
APEXFOODS,APEX FOODS LTD,2.0,,0.764525993883792,0.0,0.0,16.0,0.0
APEXFOOT,APEX FOOTWEAR LTD,3.181818,,1.37384196891192,0.0,10.000000691428603,8.0,4.0
APEXSPINN,APEX SPINNING & KNITTING MILLS LTD,2.0,,1.22399020807834,0.0,0.0,8.0,0.0
APEXTANRY,APEX TANNERY LTD ,0.5,,0.61652281134402,0.0,0.0,12.0,0.0
APOLOISPAT,APPOLLO ISPAT COMPLEX LTD,,,0.0,,,0.0,0.0
ARAMIT,ARAMIT LTD,2.0,,0.90049527239982,0.0,-20.0,9.0,0.0
ARAMITCEM,ARAMIT CEMENT LTD,0.0,0.0,0.0,0.0,,0.0,0.0
ARGONDENIM,ARGON DENIMS LTD,1.0,,5.58659217877095,0.0,0.0,9.0,0.0
ASIAINS,ASIA INSURANCE LTD,,,3.89105058365759,,,6.0,0.0
ASIAPACINS,ASIA PACIFIC GENERAL INSURANCE CO LTD,1.0,,3.06748466257669,0.0,-16.666666666666664,9.0,0.0
ASIATICLAB,ASIATIC LABORATORIES LTD,,,,,,,
ATLASBANG,ATLAS BANGLADESH LTD,0.0,0.0,0.0,,,0.0,0.0
AZIZPIPES,AZIZ PIPES LTD,,,,,,,
BANGAS,BANGAS LTD,0.4,,0.321285140562249,,33.33333333333335,3.0,1.0
BANKASIA,BANK ASIA PLC,0.90909100000001,,4.91400540540546,0.0,-33.333504443987415,7.0,0.0
BARKAPOWER,BARAKA POWER LTD,0.35,,3.21100917431193,0.0,-30.000000000000004,6.0,0.0
BATASHOE,BATA SHOE CO (BANGLADESH) LTD,44.5,,5.12672811059908,0.0,2.2988505747126435,17.0,4.0
