Symbol,Name,Revenue per share TTM,EPS basic TTM,EPS dil TTM,Operating cash flow per share TTM,FCF per share TTM,EBIT per share TTM,EBITDA per share TTM,Book per share FQ,Total debt per share FQ,Cash per share FQ
GP,Grameenphone Ltd.,116.142014696642,21.7757,21.7757,46.4508805288311,34.511603525694085,41.039154333954386,67.81083056221709,36.71591,56.53819651644797,8.096058521726071
SQURPHARMA,Square Pharmaceuticals PLC,90.3921142726207,28.5178,28.5178,29.9635330936111,23.20880398116981,23.423970795633704,25.904761471251526,164.28432,0.7541282760792388,65.79740380238272
ROBI,Robi Axiata PLc,18.6390902670958,1.7662,1.7662,8.83370291296204,5.038280749295572,4.094142288570701,9.533267607661266,12.77224,8.700214951203078,0.4466597797260866
BATBC,British American Tobacco Bangladesh Co Ltd,162.264559259259,21.2692,21.2692,-15.8011537037037,-25.16835,44.306761111111115,52.17211666666667,105.22234,42.336927777777774,1.0680092592592594
BRACBANK,BRAC Bank PLC,69.2893464597274,7.887,7.887,20.5883754658593,,,,51.72953,63.03194894821029,
WALTONHIL,Walton Hi-Tech Industries PLC,241.595169151934,33.9286,33.9286,57.1431652039242,41.74151835637249,47.13859435728007,57.21582829903771,407.03934,67.02405350363667,8.209490110339395
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,,,,,
MARICO,Marico Bangladesh Limited.,572.040077269841,196.7084,196.7084,230.550974507937,224.80587174603176,221.16437111111114,229.98349333333334,94.65098,6.4290024444444445,112.70704619047619
BERGERPBL,Berger Paints Bangladesh Ltd.,607.178805638467,70.5858,70.5858,86.7723571990005,35.37524698878977,85.61270398047888,106.50808128884992,356.33396,22.595661544494853,119.15575083754129
UPGDCL,United Power Generation & Distribution Co. Ltd.,67.6066982450969,20.1113,20.1113,6.63925797428018,5.538834843347954,21.50294001881368,28.685339885557458,72.5528,11.442232495704165,2.378841926724708
LHB,LafargeHolcim Bangladesh PLC,24.5505722319306,3.5018,3.5018,5.59870618711379,4.112378145359783,4.629131799545969,,17.13135,0.09182317316522205,5.573490354308929
ISLAMIBANK,Islami Bank Bangladesh PLC,92.9376098073135,-0.3675,-0.3675,92.7790543298975,,,,44.47872,127.95629920694671,
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,,,,,,
RENATA,Renata PLC,383.907658959336,20.6476,20.6476,53.8071479912116,16.000625217967496,37.562429814466064,53.0265854955709,312.01359,175.00251098556183,28.59029085582758
UNILEVERCL,Unilever Consumer Care Limited,188.380880713912,37.4966,37.4966,26.5759338410832,23.52851084017603,30.4046036804,32.87556011060936,107.41096,4.926555637403098,145.10822120917587
PUBALIBANK,Pubali Bank PLC,79.973184240079,6.2532,6.2532,40.2944923631057,,,,58.09389,61.03739543880317,
EBL,Eastern Bank PLC,42.1487492496209,4.8996,4.8996,9.75722885400433,,,,29.53392,65.73509412618112,
CITYBANK,City Bank PLC,62.6039458049698,8.4664,8.4664,10.1011018431392,,,,38.0936,46.03300405839695,
DUTCHBANGL,Dutch-Bangla Bank PLC,75.4711445778073,5.0883,5.0883,47.6429337081809,,,,55.00208,56.88529843968664,
PRIMEBANK,Prime Bank PLC,46.7809987724327,7.4577,7.4577,14.0427394376461,,,,38.82156,85.15785407777781,
ICB,Investment Corporation of Bangladesh,7.57024754801006,-14.8951,-14.8951,33.3305886660074,,-11.597958928440521,-11.408169076272017,34.40709,57.63922571565104,12.374424178477874
MJLBD,MJL Bangladesh PLC,,10.9894,,,,,,,,
OLYMPIC,Olympic Industries PLC.,139.829930141753,10.0933,10.0933,13.0692284641418,7.627134023343513,10.667885285706753,13.17129925391302,65.21298,1.7185389339420447,29.835534994428247
BEACONPHAR,Beacon Pharmaceuticals PLC,,,,,,,,,,
POWERGRID,Power Grid Co. of Bangladesh Ltd.,34.832474437701,4.3437,4.3437,19.7868752199117,-95.38708907732574,12.291761587103025,26.48639103046652,0.09885,596.5485167687888,33.14960504280055
BSCPLC,Bangladesh Submarine Cables PLC,20.3432346492042,12.2083,10.9831,14.9331691600206,,11.091496231687788,13.374411339352589,89.97144,21.827205282962854,32.78163554098526
BSRMSTEEL,BSRM Steels Limited,305.35137859969,14.1028,14.1028,18.3806390700953,-19.585682340189255,23.721200656997894,29.0481206003418,93.73655,123.20990058584529,7.426851878894276
BANKASIA,Bank Asia PLC,45.5773049050341,3.3724,3.3724,12.8293420867099,,,,29.28163,23.7869861756445,
BSRMLTD,Bangladesh Steel Re-Rolling Mills Ltd.,338.381345525138,20.9516,20.9516,36.6568217715268,32.51181174344857,26.187032683993582,,171.18617,110.55542371762971,2.9891921093084006
UTTARABANK,Uttara Bank PLC,31.235430560118,5.1313,5.1313,10.7483915118324,,,,29.66673,2.1668233194643802,
MPETROLEUM,Meghna Petroleum Limited,1336.34407999593,60.9502,57.5041,106.907222120759,101.18316129055388,13.925861480806535,,292.79474,1.4853039201536236,508.5168876252695
