Symbol,Name,Revenue per share TTM,EPS basic TTM,EPS dil TTM,Operating cash flow per share TTM,FCF per share TTM,EBIT per share TTM,EBITDA per share TTM,Book per share FQ,Total debt per share FQ,Cash per share FQ
GP,Grameenphone Ltd.,116.142014696642,21.7757,21.7757,46.4508805288311,34.511603525694085,41.039154333954386,67.81083056221709,36.71591,56.53819651644797,8.096058521726071
SQURPHARMA,Square Pharmaceuticals PLC,85.5773656707774,26.5139,26.5139,21.5685417776218,15.330107131357435,20.631846975954147,23.136359233207934,164.28432,0.7541282760792388,65.79740380238272
ROBI,Robi Axiata PLc,18.6390902670958,1.7662,1.7662,8.83370291296204,5.038280749295572,4.094142288570701,9.533267607661266,12.77224,8.700214951203078,0.4466597797260866
BATBC,British American Tobacco Bangladesh Co Ltd,162.264559259259,21.2692,21.2692,-15.8011537037037,-25.16835,44.306761111111115,52.17211666666667,105.22234,42.336927777777774,1.0680092592592594
BRACBANK,BRAC Bank PLC,69.2893464597274,7.887,7.887,20.5883754658593,,,,51.72953,63.03194894821029,
WALTONHIL,Walton Hi-Tech Industries PLC,241.595169151934,33.9286,33.9286,57.1431652039242,41.74151835637249,47.13859435728007,57.21582829903771,407.03934,67.02405350363667,8.209490110339395
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,,,,,
MARICO,Marico Bangladesh Limited.,572.040077269841,196.7084,196.7084,230.550974507937,224.80587174603176,221.16437111111114,229.98349333333334,94.65098,6.4290024444444445,112.70704619047619
UPGDCL,United Power Generation & Distribution Co. Ltd.,67.6066982450969,20.1113,20.1113,6.63925797428018,5.538834843347954,21.50294001881368,28.685339885557458,72.5528,11.442232495704165,2.378841926724708
BERGERPBL,Berger Paints Bangladesh Ltd.,607.178805638467,70.5858,70.5858,86.7723571990005,35.37524698878977,85.61270398047888,106.50808128884992,356.33396,22.595661544494853,119.15575083754129
LHB,LafargeHolcim Bangladesh PLC,24.5505722319306,3.5018,3.5018,5.59870618711379,4.112378145359783,4.629131799545969,,17.13135,0.09182317316522205,5.573490354308929
ISLAMIBANK,Islami Bank Bangladesh PLC,92.9376098073135,-0.3675,-0.3675,92.7790543298975,,,,44.47872,127.95629920694671,
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,,,,,,
RENATA,Renata PLC,360.909548266722,24.533,24.533,41.23190283009,-8.618157389970008,39.99516007532957,54.86466555067308,312.01359,175.00251098556183,28.59029085582758
UNILEVERCL,Unilever Consumer Care Limited,188.380880713912,37.4966,37.4966,26.5759338410832,23.52851084017603,30.4046036804,32.87556011060936,107.41096,4.926555637403098,145.10822120917587
DUTCHBANGL,Dutch-Bangla Bank PLC,75.4711445778073,5.0883,5.0883,47.6429337081809,,,,55.00208,56.88529843968664,
PUBALIBANK,Pubali Bank PLC,79.973184240079,6.2532,6.2532,40.2944923631057,,,,58.09389,61.03739543880317,
