Symbol,Name,Revenue per share TTM,EPS basic TTM,EPS dil TTM,Operating cash flow per share TTM,FCF per share TTM,EBIT per share TTM,EBITDA per share TTM,Book per share FQ,Total debt per share FQ,Cash per share FQ
GP,Grameenphone Ltd.,116.486312254537,22.1106,22.1106,43.946903675604,32.1077814512544,41.81153527375118,68.29116825712383,46.3895,47.22513142342228,10.272277104354519
SQURPHARMA,Square Pharmaceuticals PLC,94.2259841296814,29.1755,29.1755,32.1303185880515,22.742909864810237,24.44564974887896,26.939582256215154,165.62288,0.40163274561557555,68.61058191472983
ROBI,Robi Axiata PLc,19.076627173934,1.789,1.789,9.03718832388745,5.847310115262559,3.557980671686326,9.578206518814136,13.33647,9.419326858329292,0.5049108213136052
BRACBANK,BRAC Bank PLC,40.073293757156186,7.887,7.887,20.5883754658593,16.1574115169084,,,51.72953,63.03194894821029,50.24258435044216
WALTONHIL,Walton Hi-Tech Industries PLC,219.016980496411,33.5386,33.5386,55.3497771991844,41.70063918236505,42.2518919918466,51.773908745301625,358.4059,78.15507717866322,10.649234580310003
BATBC,British American Tobacco Bangladesh Co Ltd,154.490177777778,10.8147,10.8147,6.12063888888889,-5.657072222222222,38.54116851851852,53.44229814814815,102.49706,27.577274074074072,17.011418518518518
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,,,,,
MARICO,Marico Bangladesh Limited.,,206.09,206.09,,,,,,,
UPGDCL,United Power Generation & Distribution Co. Ltd.,60.9742866351143,18.5462,18.5462,20.636909612873,20.20459954762094,21.43421427261257,27.36448603418827,77.38586,15.542997102598404,6.70973519414778
BERGERPBL,Berger Paints Bangladesh Ltd.,607.178805638467,70.5858,70.5858,86.7723571990005,35.37524698878977,85.61270398047888,106.50808128884992,356.33396,22.595661544494853,119.15575083754129
LHB,LafargeHolcim Bangladesh PLC,25.2405345911544,4.3986,4.3986,7.48328337093967,3.960425306759626,5.6066355913924335,6.888446309477529,16.41489,0.08570713900394662,8.195373839682066
