Symbol,Name,Revenue per share TTM,EPS basic TTM,EPS dil TTM,Operating cash flow per share TTM,FCF per share TTM,EBIT per share TTM,EBITDA per share TTM,Book per share FQ,Total debt per share FQ,Cash per share FQ
GP,Grameenphone Ltd.,116.142014696642,21.7757,21.7757,46.4508805288311,34.511603525694085,41.039154333954386,67.81083056221709,36.71591,56.53819651644797,8.096058521726071
SQURPHARMA,Square Pharmaceuticals PLC,92.4492347084133,29.2716,29.2716,31.1752328806078,23.732960279440597,24.30809636056481,26.79021649487432,158.70319,0.5781326922962161,67.30809081147079
ROBI,Robi Axiata PLc,18.6390902670958,1.7662,1.7662,8.83370291296204,5.038280749295572,4.094142288570701,9.533267607661266,12.77224,8.700214951203078,0.4466597797260866
BRACBANK,BRAC Bank PLC,69.2893464597274,7.887,7.887,20.5883754658593,,,,51.72953,63.03194894821029,
BATBC,British American Tobacco Bangladesh Co Ltd,162.264559259259,21.2692,21.2692,-15.8011537037037,-25.16835,44.306761111111115,52.17211666666667,105.22234,42.336927777777774,1.0680092592592594
WALTONHIL,Walton Hi-Tech Industries PLC,219.016980496411,33.5386,33.5386,55.3497771991844,41.70063918236505,42.2518919918466,51.773908745301625,358.4059,78.15507717866322,10.649234580310003
BEXIMCO,Bangladesh Export Import Company Ltd.,,,,,,,,,,
MARICO,Marico Bangladesh Limited.,613.046818698413,199.9331,199.9331,167.670401555556,161.48961587301585,224.77287047619046,233.55496571428571,92.21898,5.916833492063493,38.351032158730156
UPGDCL,United Power Generation & Distribution Co. Ltd.,60.9742866351143,18.5462,18.5462,20.636909612873,20.20459954762094,21.43421427261257,27.36448603418827,77.38586,15.542997102598404,6.70973519414778
ISLAMIBANK,Islami Bank Bangladesh PLC,92.9376098073135,-0.3675,-0.3675,92.7790543298975,,,,44.47872,127.95629920694671,
BERGERPBL,Berger Paints Bangladesh Ltd.,607.178805638467,70.5858,70.5858,86.7723571990005,35.37524698878977,85.61270398047888,106.50808128884992,356.33396,22.595661544494853,119.15575083754129
LHB,LafargeHolcim Bangladesh PLC,24.5505722319306,3.5018,3.5018,5.59870618711379,4.112378145359783,4.629131799545969,,17.13135,0.09182317316522205,5.573490354308929
BXPHARMA,Beximco Pharmaceuticals Plc,,,,,,,,,,
RENATA,Renata PLC,385.90095514268,22.1152,22.1152,50.4325104056776,15.044924540310557,39.536417255900325,55.772454815731884,313.48205,141.57938742948812,16.77266188304838
