Symbol,Name,Gross Margin TTM,Operating Margin TTM,Pretax Margin TTM,Net Margin TTM,FCF Margin TTM,ROA TTM,ROE TTM,ROIC TTM,RAD Ratio TTM,SGAA Ratio TTM
1JANATAMF,First Janata Bank Mutual Fund Units,,,,,,,,,,
1STPRIMFMF,Prime Finance First Mutual Fund 2009 Units,,,,,,,,,,
AAMRANET,aamra networks ltd,,,,,,,,,,
AAMRATECH,Aamra Technologies Limited,,,,,,,,,,
ABB1STMF,AB Bank 1st Mutual Fund 2011 Units,,,,,,,,,,
ABBANK,AB Bank PLC,,116.3334231746307,,118.07550560876192,,,,,,
ACFL,Aman Cotton Fibrous PLC,4.35997724550159,2.76578852165009,3.16458156402855,1.26843833567356,22.19305959631706,0.429845555502373,0.677806695494866,0.58430357744913,,1.5941887238515096
ACI,Advanced Chemical Industries PLC,25.3411849443371,7.51819770678083,1.54771835865664,0.0772921255315759,-3.535625605838554,0.10628345456255,1.65595660900437,0.771864756032608,,17.82298723755633
ACIFORMULA,ACI Formulations PLC,30.0466151518448,11.6995154328466,8.40849056398818,6.32180705753627,-12.218943343352345,3.95671566244739,9.51472152420675,9.44964806822784,,18.47770513940042
ACMELAB,ACME Laboratories Ltd.,41.2160871673516,16.7476304173822,8.92016072414746,6.65704529767891,7.909935846570919,4.5145693982088,9.92933745450942,7.96711099565898,,24.468456749969437
ACMEPL,ACME Pesticides Ltd,,,,,,,,,,
ACTIVEFINE,Active Fine Chemicals Ltd.,,,,,,,,,,
ADNTEL,ADN Telecom Ltd.,31.0782260780231,11.6097623704537,10.2712147576388,7.44046262760396,8.57296466366943,4.48091980237085,7.13860335458784,6.37567174582953,,19.46846370756939
ADVENT,Advent Pharma Ltd.,36.2873618851604,15.6646730942619,13.5637394219919,10.2661059094966,-0.43582931115512874,2.42134103488224,3.06488322194773,3.04906881132164,,13.890554347356304
AFCAGRO,AFC Agro Biotech Ltd.,,,,,,,,,,
AFTABAUTO,Aftab Automobiles Ltd.,23.6821541456557,9.9936203424698,-28.412313810373,-19.2659327852096,-3.325159024798632,-0.567762283077341,-3.27114354425195,-0.936361758253566,,13.688533803185942
AGNISYSL,Agni Systems PLC,37.0333768563119,16.2676527890008,14.2542073707735,5.70388116384014,5.340557755767198,2.57713282791548,3.12600554451982,3.05231420006085,,20.765724067311194
AGRANINS,Agrani Insurance PLC,,31.6614899592672,20.5498906388337,14.8675292406654,8.82399176946156,3.54427833571368,5.68899921230191,5.12335118670785,,
AIBL1STIMF,AIBL 1st ISLAMIC Mutual Fund 2010- Units,,,,,,,,,,
AIL,Alif Industries Ltd.,,,,,,,,,,
AL-HAJTEX,Alhaj Textile Mills Limited,,,,,,,,,,
ALARABANK,Al-Arafah Islami Bank PLC,,8.376862175739987,2.11405445371242,5.617042479659216,-11.207271685918013,0.134767308393727,3.53079697439199,1.24399518295602,,
ALIF,Alif Manufacturing Company Ltd.,,,,,,,,,,
ALLTEX,Alltex Industries Limited,36.8333306550332,27.7344525148572,0.0570442398672258,-0.826247594316051,2.886461070709705,-0.100944487121184,-0.366347094938127,-0.160693835116313,,9.098878140175987
AMANFEED,Aman Feed PLC,11.5645241484304,5.74899050526058,1.93890068233785,0.210702236615761,1.3069774457584333,0.197969762419721,0.517890505584701,0.314022734687958,,5.815533643169787
AMBEEPHA,Ambee Pharmaceuticals PLC,45.8379828041418,2.7649781514447,4.83552514264727,3.50632768668923,-11.678785443925175,0.739365884429805,19.2815937756223,19.1493061210347,,41.65243789809105
AMCLPRAN,Agricultural Marketing Co. Ltd.,19.0045968419737,7.37769455202421,2.3908000206849,1.00511953893082,1.701376723115478,2.11184457733109,5.15683339055714,4.74652959965078,,11.626902289949514
ANLIMAYARN,Anlima Yarn Dyeing Ltd.,,,,,,,,,,
ANWARGALV,Anwar Galvanizing Ltd.,-13.8736358240514,-24.1524014299675,-22.4917223143494,-23.9904925358702,-0.7660233707035888,-16.6109293021024,-141.679173356604,-82.4390856434992,,10.278765605916126
AOL,Associated Oxygen Ltd,,,,,,,,,,
APEXFOODS,Apex Foods Limited,8.96990344690094,2.91615642371554,3.38169446712248,1.47688911185214,1.318977404914354,3.05134424514707,5.35627358046633,5.35627358046633,,6.0537470231853945
APEXFOOT,Apex Footwear Ltd.,28.2045515964381,9.8525615265062,2.28428385690324,0.814894475326674,-1.429022141160628,0.521225060366595,2.2462366514254,1.19713875323289,,18.351990069931944
APEXSPINN,Apex Spinning and Knitting Mills Ltd.,7.54221331571097,2.92251420506161,1.99531094515905,0.531016811440712,-1.9201132322643144,1.40510470339895,5.40620052594753,5.40620052594753,,4.619699110649351
APEXTANRY,Apex Tannery Limited.,8.89547519391789,2.44412081750411,-46.4601755928733,-48.4346038037207,-78.11619851178716,-5.62012443322677,-14.1482534282803,-13.1895551448242,,6.451354376413798
APOLOISPAT,Appollo Ispat Complex Ltd.,,,,,,,,,,
ARAMIT,Aramit Limited,1.82569069864269,-31.5437147418164,1.53436620598623,0.361593465959706,84.59248000103668,0.0640304236210935,0.0899182238690829,0.0899182238690829,,33.3694054404591
ARAMITCEM,Aramit Cement Limited,,,,,,,,,,
